fold,analyzer,n_components,component,explained_variance_ratio,cumulative_explained_variance_ratio,vocabulary_size
3,word,50,description_svd_35,0.0033355714002897313,0.2589533584045246,5000
3,word,50,description_svd_36,0.0033019184039087238,0.2622552768084333,5000
3,word,50,description_svd_37,0.003253049206569749,0.26550832601500307,5000
3,word,50,description_svd_38,0.0031697537198847416,0.26867807973488783,5000
3,word,50,description_svd_39,0.003101748377125108,0.27177982811201296,5000
3,word,50,description_svd_40,0.0030574127843900085,0.274837240896403,5000
3,word,50,description_svd_41,0.0029880212222944467,0.27782526211869746,5000
3,word,50,description_svd_42,0.002918957952752916,0.2807442200714504,5000
3,word,50,description_svd_43,0.0028803023390627813,0.28362452241051317,5000
3,word,50,description_svd_44,0.002833959842886538,0.2864584822533997,5000
3,word,50,description_svd_45,0.002794057032766638,0.28925253928616634,5000
3,word,50,description_svd_46,0.0027481450547577964,0.29200068434092413,5000
3,word,50,description_svd_47,0.0027060884529890965,0.2947067727939132,5000
3,word,50,description_svd_48,0.0026105178118149904,0.2973172906057282,5000
3,word,50,description_svd_49,0.002578425477089462,0.2998957160828177,5000
3,word,50,description_svd_50,0.0025430964066759407,0.3024388124894936,5000
4,word,10,description_svd_01,0.00845112429676021,0.00845112429676021,5000
4,word,10,description_svd_02,0.03878130705573403,0.04723243135249424,5000
4,word,10,description_svd_03,0.016733405466132223,0.06396583681862647,5000
4,word,10,description_svd_04,0.014809786990040505,0.07877562380866697,5000
4,word,10,description_svd_05,0.012197476369084158,0.09097310017775112,5000
4,word,10,description_svd_06,0.011884212864401389,0.10285731304215251,5000
4,word,10,description_svd_07,0.010355505160165831,0.11321281820231834,5000
4,word,10,description_svd_08,0.009405593052188991,0.12261841125450733,5000
4,word,10,description_svd_09,0.008937335572547955,0.1315557468270553,5000
4,word,10,description_svd_10,0.008001948732601197,0.13955769555965647,5000
4,word,20,description_svd_01,0.008451123885240452,0.008451123885240452,5000
4,word,20,description_svd_02,0.03878130822591314,0.04723243211115359,5000
4,word,20,description_svd_03,0.016733403397344974,0.06396583550849856,5000
4,word,20,description_svd_04,0.014809969855593023,0.07877580536409158,5000
4,word,20,description_svd_05,0.012198394156476647,0.09097419952056823,5000
4,word,20,description_svd_06,0.011884498015674516,0.10285869753624274,5000
4,word,20,description_svd_07,0.010359900230906053,0.1132185977671488,5000
4,word,20,description_svd_08,0.009408038784489647,0.12262663655163844,5000
4,word,20,description_svd_09,0.008943730761355378,0.13157036731299382,5000
4,word,20,description_svd_10,0.008018537242546185,0.13958890455554002,5000
4,word,20,description_svd_11,0.007686456023912218,0.14727536057945223,5000
4,word,20,description_svd_12,0.006767437743426997,0.15404279832287923,5000
4,word,20,description_svd_13,0.006449292347081543,0.16049209066996079,5000
4,word,20,description_svd_14,0.006251597548303917,0.1667436882182647,5000
4,word,20,description_svd_15,0.006087755562252413,0.17283144378051712,5000
4,word,20,description_svd_16,0.00555139397335257,0.1783828377538697,5000
4,word,20,description_svd_17,0.005423735008337679,0.18380657276220738,5000
4,word,20,description_svd_18,0.0051044568578580115,0.1889110296200654,5000
4,word,20,description_svd_19,0.004818624495512854,0.19372965411557824,5000
4,word,20,description_svd_20,0.00476187231022518,0.19849152642580342,5000
4,word,30,description_svd_01,0.008451123838500772,0.008451123838500772,5000
4,word,30,description_svd_02,0.03878130823865415,0.047232432077154926,5000
4,word,30,description_svd_03,0.016733401783760447,0.06396583386091537,5000
4,word,30,description_svd_04,0.014809999705000316,0.07877583356591568,5000
4,word,30,description_svd_05,0.0121984001297053,0.09097423369562098,5000
4,word,30,description_svd_06,0.011884558597407465,0.10285879229302844,5000
4,word,30,description_svd_07,0.0103599311646832,0.11321872345771164,5000
4,word,30,description_svd_08,0.009408165921161749,0.1226268893788734,5000
4,word,30,description_svd_09,0.008943833933352213,0.1315707233122256,5000
4,word,30,description_svd_10,0.008020040041423648,0.13959076335364926,5000
4,word,30,description_svd_11,0.007686928246354828,0.1472776916000041,5000
4,word,30,description_svd_12,0.006770087959925432,0.15404777955992952,5000
4,word,30,description_svd_13,0.0064549706115795595,0.16050275017150908,5000
4,word,30,description_svd_14,0.006259820456450373,0.16676257062795946,5000
4,word,30,description_svd_15,0.006105106887650573,0.17286767751561002,5000
