Model,Trim_Level,Removal_Percent,listing_id,scenario_b_fold,actual_price_RM,predicted_price_RM
Gradient Boosting,2.5%,2.5,103389671,2,450000.0,429068.89020941925
Gradient Boosting,2.5%,2.5,103052017,3,780000.0,714582.9834814271
Gradient Boosting,2.5%,2.5,103783372,5,550000.0,578179.1091030715
Gradient Boosting,2.5%,2.5,103490280,4,280000.0,269044.7557008358
Gradient Boosting,2.5%,2.5,103694941,2,360000.0,387237.1489582493
Gradient Boosting,2.5%,2.5,76155208,4,750000.0,1181360.7709912125
Gradient Boosting,2.5%,2.5,103010498,4,344000.0,557214.9213889946
Gradient Boosting,2.5%,2.5,103783358,3,270000.0,250553.17961895675
Gradient Boosting,2.5%,2.5,103602392,1,420000.0,437213.0226374413
Gradient Boosting,2.5%,2.5,103783351,1,380000.0,365116.61970743025
Gradient Boosting,2.5%,2.5,103783347,5,230000.0,238375.03305724307
Gradient Boosting,2.5%,2.5,103783346,5,255000.0,300943.4890241164
Gradient Boosting,2.5%,2.5,103783345,2,200000.0,204383.94202621057
Gradient Boosting,2.5%,2.5,103783338,3,858520.0,821010.3339456662
Gradient Boosting,2.5%,2.5,101221481,4,385000.0,374322.97694608796
Gradient Boosting,2.5%,2.5,100617960,1,390000.0,379141.6593098467
Gradient Boosting,2.5%,2.5,97715055,5,358000.0,373065.69997805264
Gradient Boosting,2.5%,2.5,102753685,4,390000.0,377553.91932811396
Gradient Boosting,2.5%,2.5,103783233,5,420000.0,487832.7988954851
Gradient Boosting,2.5%,2.5,103783227,5,185000.0,205813.51521124667
Gradient Boosting,2.5%,2.5,102707812,5,680000.0,351287.7286516864
Gradient Boosting,2.5%,2.5,101379433,5,430000.0,387735.010763816
